genre,count,main_genre
kentucky roots,7,
brooklyn drill,7,
abstractro,7,
experimental synth,7,
deep acoustic pop,7,
rap kreyol,7,
turkish rock,7,
tamil pop,7,
shred,7,
roots americana,7,
south african pop dance,7,
canadian soundtrack,7,
afrobeat fusion,7,
leipzig electronic,7,
scottish techno,7,
arabic instrumental,7,
deep dubstep,7,
greek indie,7,
gothic metal,7,
czech hip hop,7,
lullaby,7,
brazilian classical,7,
jazz cubano,7,
dutch contemporary classical,7,
vintage schlager,7,
gulf hip hop,7,
glitter trance,7,
indie anthem-folk,7,
russian alt pop,7,
jazz mexicano,7,
ska punk,7,
pop emo,7,
dub poetry,7,
weirdcore,7,
dark electro,7,
persian rock,7,
latin worship,7,
nu age,7,
crank wave,7,
yoga,7,
ann arbor indie,7,
irish country,7,
japanese r&b,7,
rap conscient,7,
canadian punk,7,
tulsa indie,7,
deep turkish pop,7,
norwegian americana,7,
asmr,7,
london indie,7,
euphoric hardstyle,6,
spanish indie pop,6,
alte,6,
future funk,6,
german pop rock,6,
hard techno,6,
olympia wa indie,6,
deep disco,6,
stockholm indie,6,
dutch blues,6,
re:techno,6,
french baroque,6,
nightrun,6,
canzone d'autore,6,
japanese classical,6,
new jersey hardcore,6,
albanian pop,6,
vgm remix,6,
gqom,6,
moldovan pop,6,
funky breaks,6,
ecuadorian indie,6,
death metal,6,
kabyle,6,
german indie,6,
deep soundtrack,6,
classic moroccan pop,6,
bass trip,6,
trap triste,6,
indian electronic,6,
screamo,6,
idaho indie,6,
jazz violin,6,
ukrainian edm,6,
futurepop,6,
breaks,6,
acid jazz,6,
atlanta punk,6,
modern old-time,6,
memphis americana,6,
binaural,6,
russian trance,6,
pashto pop,6,
latinx alternative,6,
boston hip hop,6,
dessin anime,6,
omaha indie,6,
indian instrumental,6,
pluggnb,6,
folclore tucumano,6,
fake,6,
tennessee hip hop,6,
korean pop,6,
beach music,6,
austro-german modernism,6,
arab experimental,6,
rap marseille,6,
emo rap,6,
canzone napoletana,6,
roots worship,6,
nordic soundtrack,6,
post-metal,6,
memphis hip hop,6,
classic norwegian pop,6,
tape club,6,
free improvisation,6,
hoerspiel,6,
axe,6,
canadian latin,6,
beat italiano,6,
mandible,6,
ukrainian folk,6,
cypriot pop,6,
action rock,6,
japanese jazz fusion,6,
instrumental bluegrass,6,
gnawa,6,
tanzanian pop,6,
disco polo,6,
turkish hip hop,6,
pop violin,6,
straight-ahead jazz,6,
punjabi pop,6,
jamgrass,6,
latin christian,6,
musik anak-anak,6,
russian chanson,6,
dublin indie,6,
swiss alternative rock,6,
south carolina hip hop,6,
palestinian traditional,6,
ballet class,6,
polish hip hop,6,
belgian modern jazz,6,
chill groove,6,
alternative emo,6,
bongo flava,6,
music box,6,
electro latino,6,
cardiff indie,6,
vogue,6,
uk drill,6,
dubsteppe,6,
bedroom soul,6,
hungarian techno,6,
czech rock,6,
russian dance pop,6,
munich indie,6,
icelandic indie,6,
finnish electro,6,
libyan pop,6,
musical advocacy,6,
bolero cubano,6,
